product_id		attribute_id		attribute_value
1261151001		shop_the_look_1		1271463001;;1225473001;;1195198001
1243116004		shop_the_look_0		1243637001;;1249781002;;1178447002
1243116004		shop_the_look_1		1271475001;;1233180001;;1162874003
1243116004		shop_the_look_2		1195882001;;1256319001;;1230602001
1171308006		shop_the_look_0		1214474002;;1231026001;;1233180001
1171308006		shop_the_look_1		1225212001;;1233075001;;1240595001
1255847003		shop_the_look_0		1256319001;;1230602001;;1230606001
1150569009		shop_the_look_0		1252170002;;1245358001;;1251659001
1150569009		shop_the_look_1		1240595001;;1230603001;;1190723001
1242818003		shop_the_look_0		1271748002;;1232726001;;1192716001
1242818003		shop_the_look_1		1195802001;;1218892001;;1233583001
1248313002		shop_the_look_0		1244429001;;1209795003;;1187053007
1248313002		shop_the_look_1		1255047001;;1271847001;;1238878001
1248752001		shop_the_look_0		1230615005;;1214832001;;1230589001
1246547003		shop_the_look_0		1198038001;;1204130001;;1243644002
1246547003		shop_the_look_1		1214832001;;1240754001;;1224988001
1255822001		shop_the_look_0		1235853002;;1242189001;;1252170002
1255822001		shop_the_look_1		1214832001;;1224988001;;1230603001
1244377001		shop_the_look_0		1235443002;;1208324003;;1242174001
1244377001		shop_the_look_1		1230615005;;1230602001;;1256319001
1221948003		shop_the_look_0		1242912001;;1241198001;;1242174001
1221948003		shop_the_look_1		1194860001;;1214832001;;1249821001
1196623001		shop_the_look_0		1249819002;;1244373001;;1251536001
1196623001		shop_the_look_1		1246547001;;1242831001;;1247124001
1196623001		shop_the_look_2		1239979001;;1230603001;;1275617001
0989040004		shop_the_look_0		1234974002;;1248999003;;1234962002
0989040004		shop_the_look_1		1240754001;;1214832001;;1230589001
1126010014		shop_the_look_0		0989043016;;1255832001;;0989043031
1126010014		shop_the_look_1		1248922001;;1258754001;;1244394002
1126010014		shop_the_look_2		1225212001;;1247098001;;1275617001
1243645001		shop_the_look_0		1242909001;;1251078001;;1263683001
1257168001		shop_the_look_0		1242189001;;1242912001;;1258754001
1257168001		shop_the_look_1		1238878001;;1239979003;;1257585001
1217919006		shop_the_look_0		1243914001;;1165123009;;1271460001
1217919006		shop_the_look_1		1230603001;;1238874002;;1170307001
1275617001		shop_the_look_0		1271751001;;0960679007;;1241762001
1275617001		shop_the_look_1		1252421001;;1241508002;;1235443001
1253994001		shop_the_look_0		1251463002;;1246154001;;1254085001
1253994001		shop_the_look_1		1244363001;;1266221001
1250706001		shop_the_look_0		1256319001;;1230606001;;1230602001
1209795004		shop_the_look_0		1046869041;;1046869001;;1243099001
1209795004		shop_the_look_1		1232166001;;1196947001;;1250677002
1209795004		shop_the_look_2		1253994003;;1230578001;;1230603001
1238690001		shop_the_look_0		1242318001;;1187429004;;1251086001
1238690001		shop_the_look_1		1252421001;;1248922001;;1244174001
1238690001		shop_the_look_2		1238874001;;1275617002;;1244386001
